SEASON,TEAM,ACTUAL_WINS,SIM_ALL_WINS,ERR_ALL,SIM_NOTANK_WINS,ERR_NOTANK
2018-19,CLE,19,28.167,9.167000000000002,28.427,9.427
2018-19,ATL,29,27.855,1.1449999999999996,28.446,0.5539999999999985
2018-19,NYK,17,23.952,6.952000000000002,23.618,6.617999999999999
2018-19,CHI,22,23.92,1.9200000000000017,24.269,2.2689999999999984
2018-19,PHX,19,21.461,2.4609999999999985,21.786,2.7860000000000014
2019-20,MIL,56,54.334,1.6659999999999968,54.221,1.7790000000000037
2019-20,TOR,53,46.272,6.7280000000000015,45.801,7.198999999999998
2019-20,LAL,52,44.598,7.402000000000001,44.66,7.340000000000003
2019-20,BOS,48,44.142,3.857999999999997,43.989,4.011000000000003
2019-20,DEN,46,44.027,1.972999999999999,43.662,2.338000000000001
2019-20,HOU,44,43.794,0.206000000000003,43.478,0.5219999999999985
2019-20,LAC,49,43.581,5.418999999999997,43.374,5.625999999999998
2019-20,DAL,43,43.0,0.0,42.667,0.3329999999999984
2019-20,UTA,44,42.338,1.661999999999999,42.26,1.740000000000002
2019-20,PHI,43,41.215,1.7849999999999966,41.043,1.9570000000000007
2019-20,MIA,44,40.895,3.104999999999997,41.142,2.857999999999997
2019-20,IND,45,39.875,5.125,40.154,4.8459999999999965
2019-20,OKC,44,39.855,4.145000000000003,39.729,4.271000000000001
2019-20,POR,35,37.044,2.043999999999997,37.072,2.0720000000000027
2019-20,ORL,33,36.954,3.9540000000000006,36.37,3.369999999999997
2019-20,BKN,35,35.875,0.875,35.764,0.7640000000000029
2019-20,SAS,32,33.897,1.8969999999999985,33.902,1.902000000000001
2019-20,SAC,31,32.559,1.5589999999999975,32.23,1.2299999999999969
2019-20,MEM,34,32.357,1.643000000000001,32.759,1.2409999999999997
2019-20,PHX,34,31.789,2.2109999999999985,31.768,2.2319999999999998
2019-20,NOP,30,30.243,0.2429999999999985,30.79,0.7899999999999991
2019-20,WAS,25,28.634,3.634,28.009,3.0090000000000003
2019-20,DET,20,28.182,8.181999999999999,28.448,8.448
2019-20,MIN,19,25.972,6.972000000000001,25.841,6.841000000000001
2019-20,CHI,22,25.346,3.346,26.045,4.045000000000002
2019-20,CHA,23,24.143,1.143000000000001,23.947,0.9469999999999992
2019-20,GSW,15,22.977,7.977,23.464,8.463999999999999
2019-20,ATL,20,22.073,2.0730000000000004,21.564,1.564
2019-20,CLE,19,21.586,2.5859999999999985,22.914,3.9140000000000015
2019-20,NYK,21,21.443,0.4430000000000014,21.933,0.9329999999999998
2020-21,LAC,47,46.271,0.7289999999999992,45.391,1.6090000000000018
2020-21,UTA,52,46.232,5.768000000000001,45.703,6.296999999999997
2020-21,PHX,51,44.929,6.070999999999998,44.909,6.091000000000001
2020-21,PHI,49,44.068,4.932000000000002,43.422,5.578000000000003
2020-21,MIL,46,44.024,1.975999999999999,44.234,1.7659999999999982
2020-21,BKN,48,43.791,4.209000000000003,44.527,3.472999999999999
2020-21,LAL,42,43.055,1.0549999999999995,43.06,1.0600000000000025
2020-21,DEN,47,42.152,4.847999999999999,42.81,4.189999999999998
2020-21,BOS,36,40.473,4.472999999999999,41.141,5.140999999999998
2020-21,DAL,42,40.076,1.9239999999999997,39.797,2.203000000000003
2020-21,TOR,27,38.803,11.802999999999995,38.889,11.889000000000005
2020-21,MEM,38,38.271,0.2710000000000008,38.045,0.0450000000000017
2020-21,POR,42,38.148,3.8519999999999968,38.356,3.6439999999999984
2020-21,IND,34,38.053,4.052999999999997,38.399,4.399000000000001
2020-21,MIA,40,36.772,3.228000000000001,36.882,3.118000000000002
2020-21,NOP,31,36.455,5.454999999999998,35.552,4.552
2020-21,NYK,41,36.216,4.783999999999999,36.465,4.534999999999997
2020-21,ATL,41,35.77,5.229999999999997,35.597,5.402999999999999
2020-21,GSW,39,35.294,3.706000000000003,35.403,3.5970000000000013
2020-21,SAS,33,34.6,1.6000000000000014,34.956,1.956000000000003
2020-21,CHA,33,32.967,0.0330000000000012,32.978,0.0219999999999984
2020-21,SAC,31,30.854,0.1460000000000008,30.673,0.3270000000000017
2020-21,CHI,31,30.566,0.434000000000001,31.922,0.9220000000000006
2020-21,WAS,34,28.284,5.716000000000001,27.951,6.049
2020-21,OKC,22,28.082,6.082000000000001,27.881,5.881
2020-21,HOU,17,26.549,9.549,26.017,9.017
2020-21,ORL,21,26.089,5.088999999999999,26.068,5.068000000000001
2020-21,DET,20,25.66,5.66,25.873,5.873000000000001
2020-21,CLE,22,24.492,2.492000000000001,23.896,1.8960000000000008
2020-21,MIN,23,23.004,0.0040000000000013,23.203,0.2029999999999994
2021-22,PHX,64,56.327,7.673000000000002,56.11,7.890000000000001
2021-22,UTA,49,52.487,3.487000000000002,52.266,3.2659999999999982
2021-22,GSW,53,51.573,1.4269999999999996,51.202,1.7980000000000018
2021-22,MIL,51,50.306,0.6940000000000026,49.669,1.331000000000003
2021-22,MIA,53,50.193,2.807000000000002,50.25,2.75
2021-22,MEM,56,48.339,7.661000000000001,48.154,7.8459999999999965
2021-22,BOS,51,48.175,2.825000000000003,47.569,3.4309999999999974
2021-22,PHI,51,47.78,3.219999999999999,47.814,3.186
